auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,year
,,Coccinelle 1303 coach,Jean-Pierre Osenat,,,,,
,,Coccinelle 1303 coach standard,Me Arnaud-Lacroze,,,,,
,,Coccinelle 1303 coach,SCP Cambron-Pesin-Dupont-Lagrifo,,,,,
,,Coccinelle 1303 coach RHD,BCA Classic & Historic,,,,,
,,,,,,,,
,,,,,,,Karmann-Ghia 1200/1300 cabriolet,1960
,,,,,,,Karmann-Ghia 1500/1600 cabr. (type 14),1967
,,,,,,,Karmann-Ghia 1600 cabriolet (type14),1972
,,,,,,,Karmann-Ghia 1500 coupé (type 34),1962
,,,,,,,Karmann-Ghia 1500 S coupé (type 34),1964
,,,,,,,Karmann-Ghia 1600 L coupé (type 34),1966
,,,,,,,Karmann-Ghia 1600 LE coupé (type 34),1968
,,,,,,,1500 coach Typ 31 (notchback),1962
,,,,,,,1500 S coach (notchback),1964
,,,,,,,1600 L coach (notchback),1966
,,,,,,,1600 LE coach (notchback),1970
,,,,,,,1600 TL coupé (fastback),1966
,,,,,,,1600 T / TA coupé (fastback),1970
,,,,,,,1600 E coupé (fastback),1970
,,,,,,,1500 Variant Typ 36 break ,1962
,,,,,,,1500 S Variant break,1964
,,,,,,,,
,,1302 LS Cabriolet,Bonhams,,,,,
,,"1302 LS Cabriolet, ex-Sylvie Vartan",Artcurial Motorcars,,,,,
,,Coccinelle 1303 LS cabriolet,Périgord Enchères (Bertrand Miallon),,,,,
,,Coccinelle 1302 L cabriolet,Jean-Pierre Osenat,,,,,
,,Coccinelle 1302 L cabriolet,Jean-Pierre Osenat,,,,,
,,Coccinelle 1302 LS cabriolet,Artcurial Motorcars,,,,,
,,Coccinelle 1302 LS cabriolet,Oldtimer Galerie Toffen,,,,,
,,Coccinelle 1302 LS cabriolet,Dorotheum,,,,,
,,Coccinelle 1302 LS cabriolet,"Artcurial Briest, Le Fur, Poulai",,,,,
,,Coccinelle 1500 cabriolet RHD,H & H Classic Auctions,,,,,
,,,,,,,,
,,Karmann-Ghia 1600 coupé USA,Bonhams,,,,,
,,Karmann-Ghia 1600 (T 14) coupé,Jean-Pierre Osenat,,,,,
,,Karmann-Ghia 1600 coupé ex-USA,Jean-Pierre Osenat,,,,,
,,Karmann-Ghia 1600 coupé T 14 LHD ex-USA,H & H Classic Auctions,,,,,
,,,,,,,,
,,Karmann-Ghia 1500 coupé (type 14),Oldtimer Galerie Toffen,,,,,
,,"Karmann-Ghia 1600 coupé (type 14), conv. RHD",Brightwells,,,,,
,,,,,,,,
,,Karmann-Ghia 1200 coupé,Gooding & Co,,,,,
,,Karmann-Ghia type 14 cabriolet ex-USA,Alcopa Auction Nancy,,,,,
,,Karmann-Ghia 1200 coupé Typ 14,Auctionata,,,,,
,,Karmann-Ghia 1200 coupé typ 14,Gooding & Co.,,,,,
,,,,,,,,
,,Karmann-Ghia 1200 coupé,Gooding & Co,,,,,
,,Karmann-Ghia type 14 cabriolet ex-USA,Alcopa Auction Nancy,,,,,
,,Karmann-Ghia 1200 coupé Typ 14,Auctionata,,,,,
,,Karmann-Ghia 1200 coupé typ 14,Gooding & Co.,,,,,
,,,,,,,,
,,"Karmann-Ghia 1200 coupé (type 14, phares bas)",Gooding Co.,,,,,
,,Karmann-Ghia 1200 coupé (type 14),Oldtimer Galerie Toffen,,,,,
,,,,,,,,
,,Coccinelle 1303 injection cabriolet Karmann,RM Sotheby,,,,,
,,1303 LS cabriolet RHD,Bonhams,,,,,
,,1303 cabriolet Karmann,Alcopa,,,,,
,,1303 LS cabriolet Karmann,RM Sotheby's,,,,,
,,1303 LS cabriolet Karmann,RM Sotheby's,,,,,
,,1303 LS cabriolet Karmann,RM Sotheby's,,,,,
,,Coccinelle 1303 LS cabriolet injection ex USA,William Le Calvez,,,,,
,,Coccinelle 1303 LS Automatic cabriolet,Alcopa Auction Rennes,,,,,
,,Coccinelle 1303 L cabriolet Karmann,RM Sotheby's,,,,,
