auction_brand,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,Le Gua,Typ 166 Schwimmwagen,Hermann Historica,84 000 €,REST,V,,6968,
VOLKSWAGEN,Le Gua,"Typ 166 ""Schwimmwagen""",Hermann Historica,120 000 €,REST,V,,6968,
VOLKSWAGEN,Monaco (Bonhams),"Typ 166 Schwimmwagen, moteur 1300",Bonhams SAM,130 000 €,REST+/TR,V,,6968,
VOLKSWAGEN,Vimoutiers,"Typ 166 Schwimmwagen, moteur plus récent",Demade Enchères,68 000 €,RAR/TR,V,,6968,
,,,,,,,,6938,
VOLKSWAGEN,Paris,1303 coach,Claude Aguttes,16 820 €,OR+,V,,6938,
VOLKSWAGEN,Esvres-sur-Indre,Coccinelle 1303 coach,Alcopa,4 980 €,OR,V,,6938,
VOLKSWAGEN,Sainte-Solange,Coccinelle 1303 coach,SVV Daguerre,3 750 €,OR,V,,6938,
VOLKSWAGEN,Saint-James,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,5 175 €,OR+,V,,6938,
VOLKSWAGEN,Saint-James,Coccinelle 1303 coach,Toutain-Vente / M. Vaudouër,4 485 €,REST+,V,,6938,
VOLKSWAGEN,Fontainebleau,Coccinelle 1303 coach,Jean-Pierre Osenat,1 500 €,OR-,V,,6938,
VOLKSWAGEN,Uzerche,Coccinelle 1303 coach standard,Me Arnaud-Lacroze,1 900 €,OR-,V,,6938,
VOLKSWAGEN,Saint-LoubèS,Coccinelle 1303 coach,SCP Cambron-Pesin-Dupont-Lagrifo,750 €,OR-,V,,6938,
VOLKSWAGEN,Kempston Hardwick,Coccinelle 1303 coach RHD,BCA Classic & Historic,750 €,OR,V,,6938,
,,,,,,,,6948,
VOLKSWAGEN,Goodwood,Karmann-Ghia 1600 coupé USA,Bonhams,8 830 €,REST,V,,6948,
VOLKSWAGEN,Lyon (Epoqu'auto),Karmann-Ghia 1600 (T 14) coupé,Jean-Pierre Osenat,18 000 €,OR+,V,,6948,
VOLKSWAGEN,Lyon (Epoqu'auto),Karmann-Ghia 1600 coupé ex-USA,Jean-Pierre Osenat,14 300 €,REST-,V,,6948,
VOLKSWAGEN,Buxton,Karmann-Ghia 1600 coupé T 14 LHD ex-USA,H & H Classic Auctions,4 200 €,OR+,V,,6948,
,,,,,,,,6947,
VOLKSWAGEN,Toffen,Karmann-Ghia 1500 coupé (type 14),Oldtimer Galerie Toffen,21 370 €,REST,V,,6947,
VOLKSWAGEN,Leominster,"Karmann-Ghia 1600 coupé (type 14), conv. RHD",Brightwells,5 700 €,REST/TR,V,,6947,
,,,,,,,,6946,
VOLKSWAGEN,Scottsdale,Karmann-Ghia 1200 coupé,Gooding & Co,30 590 €,REST,V,,6946,
VOLKSWAGEN,Fléville devant Nancy,Karmann-Ghia type 14 cabriolet ex-USA,Alcopa Auction Nancy,21 610 €,REST,V,,6946,
VOLKSWAGEN,Berlin,Karmann-Ghia 1200 coupé Typ 14,Auctionata,14 860 €,REST,V,,6946,
VOLKSWAGEN,Scottsdale,Karmann-Ghia 1200 coupé typ 14,Gooding & Co.,32 540 €,REST,V,,6946,
,,,,,,,,8637,
VOLKSWAGEN,Scottsdale,"Karmann-Ghia 1200 coupé (type 14, phares bas)",Gooding Co.,56 650 €,REST,V,,8637,
VOLKSWAGEN,Kaufdorf,Karmann-Ghia 1200 coupé (type 14),Oldtimer Galerie Toffen,3 170 €,EP,V,,8637,
,,,,,,,,6944,
