auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,quote_id,quote_model,auction_location_encoded,quote_model_encoded,auction_organizor_encoded,auction_restauration_code_encoded,auction_sales_code_encoded
MERCEDES,20130610,PARIS,"280 SL ""California"" roadster hard top mécanique",Artcurial,22863.0,REST,V,5,280 SL cabriolet hard-top,26,0,0,6,0
MERCEDES,20130525,SPA FRANCORCHAMPS,280 SL cabriolet hard-top,Bonhams,105800.0,REST,V,5,280 SL cabriolet hard-top,38,0,3,6,0
MERCEDES,20130505,BEAUZELLE,280 SL cabriolet hard-top,SCP,26400.0,OR,V,5,280 SL cabriolet hard-top,4,0,15,1,0
MERCEDES,20120908,BEAULIEU,280 SL cabriolet hard-top RHD mécan.,Bonhams,31625.0,OR+,V,6,280 SL cabriolet hard-top,3,0,3,2,0
MERCEDES,20120616,OXFORD,280 SL cabriolet hard-top RHD autom.,Bonhams,28584.0,OR,V,6,280 SL cabriolet hard-top,25,0,3,1,0
MERCEDES,20120511,MONACO,"280 SL cabriolet hard-top LHD, boîte 5",Bonhams,41400.0,REST,V,6,280 SL cabriolet hard-top,22,0,3,6,0
MERCEDES,20120218,BROOKLANDS,280 SL cabriolet RHD,Brooklands Auctions,4635.0,SEP,V,6,280 SL cabriolet hard-top,5,0,4,9,0
MERCEDES,20120202,PARIS,280 SL cabriolet + hard-top LHD autom.,Bonhams,50600.0,OR+,V,6,280 SL cabriolet hard-top,26,0,3,2,0
MERCEDES,20111030,PARIS,280 SL cabriolet + hard-top LHD autom.,Artcurial,23000.0,RAR,V,6,280 SL cabriolet hard-top,26,0,0,5,0
MERCEDES,20110701,GOODWOOD,280 SL cabriolet RHD autom.,Bonhams,25520.0,REST,V,6,280 SL cabriolet hard-top,12,0,3,6,0
MERCEDES,20110701,GOODWOOD,"280 SL Convertible RHD autom., immat 280 SL",Bonhams,73080.0,EX,V,6,280 SL cabriolet hard-top,12,0,3,0,0
MERCEDES,20110613,PARIS,"280 SL cabriolet hard-top, ex-G. Garvarentz",Artcurial,27000.0,OR,V,6,280 SL cabriolet hard-top,26,0,0,1,0
MERCEDES,20110613,PARIS,280 SL cabriolet hard-top LHD mécan.,Artcurial,44000.0,OR+,V,6,280 SL cabriolet hard-top,26,0,0,2,0
MERCEDES,20100721,BUXTON,280 SL cabriolet + hard-top RHD autom.,H & H Classic Auctions,41140.0,REST+,V,6,280 SL cabriolet hard-top,6,0,11,7,0
MERCEDES,20100430,MONACO,280 SL cabriolet + hard-top,Coys Auction ,16000.0,OR-,V,6,280 SL cabriolet hard-top,22,0,7,4,0
MERCEDES,20100306,KIDLINGTON,280 SL cabriolet LHD autom. ex-USA,Bonhams,12100.0,OR,V,6,280 SL cabriolet hard-top,14,0,3,1,0
MERCEDES,20100123,PARIS,280 SL cabriolet + hard-top,Bonhams,30000.0,OR+,V,6,280 SL cabriolet hard-top,26,0,3,2,0
MERCEDES,20090608,ROUBAIX,280 SL cabriolet + hard-top,SVV,18000.0,OR,V,6,280 SL cabriolet hard-top,31,0,16,1,0
MERCEDES,20090308,OXFORD,280 SL cabriolet + hard-top RHD autom.,Bonhams,26400.0,OR+,V,6,280 SL cabriolet hard-top,25,0,3,2,0
MERCEDES,20090713,DEAUVILLE,280 SL cabriolet + hard-top,Artcurial,33000.0,REST+,V,7,280 SL cabriolet hard-top,9,0,0,7,0
MERCEDES,20090208,PARIS,280 SL cabriolet + hard-top automatique USA,Artcurial,18000.0,OR,V,7,280 SL cabriolet hard-top,26,0,0,1,0
MERCEDES,20071216,FONTAINEBLEAU,280 SL cabriolet + hard-top LHD mécan.,J.P. Osenat,27000.0,OR+,V,7,280 SL cabriolet hard-top,10,0,12,2,0
MERCEDES,20071023,SANDOWN PARK,280 SL cabriolet + hard-top LHD,Barons Auctions,22880.0,REST,V,7,280 SL cabriolet hard-top,34,0,2,6,0
MERCEDES,20070630,SALZBOURG,280 SL cabriolet hard-top LHD autom.,Dorotheum,60000.0,OR+/EX,V,7,280 SL cabriolet hard-top,33,0,8,3,0
MERCEDES,20061005,BROOKLANDS,280 SL cabriolet hard-top RHD autom.,BCA,21900.0,REST,V,7,280 SL cabriolet hard-top,5,0,1,6,0
MERCEDES,20060726,BUXTON,280 SL cabriolet hard-top RHD autom.,H & H Classic Auctions,21000.0,OR+,V,7,280 SL cabriolet hard-top,6,0,11,2,0
MERCEDES,20060722,NUREMBERG,"280 SL cabriolet hard-top LHD, jantes alu",Coys Auction ,37000.0,REST+,V,7,280 SL cabriolet hard-top,24,0,7,7,0
MERCEDES,20060707,GOODWOOD,280 SL cabriolet hard-top RHD autom.,Bonhams,8250.0,OR,V,7,280 SL cabriolet hard-top,12,0,3,1,0
MERCEDES,20060402,FONTAINEBLEAU,280 SL cabriolet + hard-top LHD,J.P. Osenat,25000.0,REST,V,7,280 SL cabriolet hard-top,10,0,12,6,0
MERCEDES,20090314,SAINT-LEU-LA-FORÊT,280 SL cabriolet automatique + hard-top,SCP,9800.0,OR-,V,7,280 SL cabriolet hard-top,32,0,15,4,0
