quote_id,auction_brand,auction_model,auction_organizor,action_sales_code,auction_restauration_code,action_price,action_location
6947,VOLKSWAGEN,Karmann-Ghia 1500 coupé (type 14),Oldtimer Galerie Toffen,V,REST,21 370 €,Toffen
6947,VOLKSWAGEN,"Karmann-Ghia 1600 coupé (type 14), conv. RHD",Brightwells,V,REST/TR,5 700 €,Leominster
6946,,,,,,,
6946,VOLKSWAGEN,Karmann-Ghia 1200 coupé,Gooding & Co,V,REST,30 590 €,Scottsdale
6946,VOLKSWAGEN,Karmann-Ghia type 14 cabriolet ex-USA,Alcopa Auction Nancy,V,REST,21 610 €,Fléville devant Nancy
6946,VOLKSWAGEN,Karmann-Ghia 1200 coupé Typ 14,Auctionata,V,REST,14 860 €,Berlin
6946,VOLKSWAGEN,Karmann-Ghia 1200 coupé typ 14,Gooding & Co.,V,REST,32 540 €,Scottsdale
8637,,,,,,,
8637,VOLKSWAGEN,"Karmann-Ghia 1200 coupé (type 14, phares bas)",Gooding Co.,V,REST,56 650 €,Scottsdale
8637,VOLKSWAGEN,Karmann-Ghia 1200 coupé (type 14),Oldtimer Galerie Toffen,V,EP,3 170 €,Kaufdorf
6944,,,,,,,
6944,VOLKSWAGEN,Coccinelle 1303 injection cabriolet Karmann,RM Sotheby,V,OR+,10 770 €,Fort Lauderdale
6944,VOLKSWAGEN,1303 LS cabriolet RHD,Bonhams,V,OR+,26 930 €,Beaulieu
6944,VOLKSWAGEN,1303 cabriolet Karmann,Alcopa,V,OR,8 150 €,La Mézière
6944,VOLKSWAGEN,1303 LS cabriolet Karmann,RM Sotheby's,V,REST,17 960 €,Fort Lauderdale
6944,VOLKSWAGEN,1303 LS cabriolet Karmann,RM Sotheby's,V,REST,31 430 €,Fort Lauderdale
6944,VOLKSWAGEN,1303 LS cabriolet Karmann,RM Sotheby's,V,REST,17 060 €,Fort Lauderdale
6944,VOLKSWAGEN,Coccinelle 1303 LS cabriolet injection ex USA,William Le Calvez,V,OR,13 570 €,Auvers sur Oise
6944,VOLKSWAGEN,Coccinelle 1303 LS Automatic cabriolet,Alcopa Auction Rennes,V,OR+,14 720 €,La Mézière
6944,VOLKSWAGEN,Coccinelle 1303 L cabriolet Karmann,RM Sotheby's,V,OR,21 280 €,Milan
6944,VOLKSWAGEN,Coccinelle 1303 L cabriolet Karmann,RM Sotheby's,V,OR,12 880 €,Milan
6944,VOLKSWAGEN,Coccinelle 1303 LS cabriolet,Artcurial Motorcars,V,OR+,19 070 €,Le Mans
