auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,quote_id
ALFA ROMEO,20070811,NÜRBURGRING,Alfasud Ti 1.2 3 portes Trofeo Groupe 2,Coys Auction ,21000.0,TR,V,9013
ALFA ROMEO,20180902,AUBURN,4C Launch Edition,RM Sotheby's,39790.0,OR+,V,12119
ALFA ROMEO,20180414,LYON,Brera Spider 3.2,Aguttes,22000.0,OR+,V,12119
ALFA ROMEO,20180209,PARIS,8 C Competizione,Artcurial,238400.0,OR+,V,12119
ALFA ROMEO,20180207,PARIS,8 C Competizione,RM Sotheby's,230000.0,OR+,V,12119
ALFA ROMEO,20170702,MONACO,4 C Launch Edition (n° 471 / 500),Artcurial,56360.0,OR+,V,12119
ALFA ROMEO,20160605,ALBI,Brera JTD,FEE Machoïr,10800.0,OR+,V,12119
ALFA ROMEO,20190308,AMELIA ISLAND,8C Competizione Coupé ,Gooding & Co,318120.0,OR+,V,12524
ALFA ROMEO,20190308,AMELIA ISLAND,8C Competizione Coupé ,RM Sotheby's,288720.0,OR+,V,12524
ALFA ROMEO,20190118,SCOTTSDALE,8C Competizione Coupé ,Gooding & Co,294670.0,OR+,V,12524
ALFA ROMEO,20140510,MONACO,"33/2 Daytona berlinette ex-Vaccarella, Schultze et Weber",RM Sotheby's,1260000.0,REST,V,11946
ALFA ROMEO,20170429,TOFFEN,33 1.4 IE 16 V Imola,Oldtimer Galerie Toffen ,1530.0,OR,V,11546
ALFA ROMEO,20140208,PARIS,33 1.3 S berline,Artcurial,2980.0,OR+,V,11546
ALFA ROMEO,20130208,PARIS,Monoplace formule Boxer,Artcurial,15488.0,OR,V,11546
ALFA ROMEO,20121201,TOFFEN,33 1.5 SL berline,Oldtimer Galerie Toffen ,2787.0,OR+,V,11546
ALFA ROMEO,20090919,KAUFDORF,33 1.5 berline,Oldtimer Galerie Toffen ,2310.0,OR+,V,11546
ALFA ROMEO,20140208,PARIS,Arna 1.2 5 portes,Artcurial,4768.0,OR+,V,11360
ALFA ROMEO,20091213,FONTAINEBLEAU,Alfasud Sprint QV Grand Prix,J.P. Osenat,3800.0,REST,V,8537
ALFA ROMEO,20171124,ESVRES-SUR-INDRE,Alfasud Sprint 1.5 Grand Prix,Alcopa auction,3850.0,OR,V,8536
ALFA ROMEO,20170508,LA MÉZIÈRE,Alfasud Sprint 1.5 Quadrifoglio Verde,Alcopa auction,6670.0,OR+,V,8536
ALFA ROMEO,20190713,BROOKLANDS,Alfasud Sprint Veloce 1.5 RHD,Brooklands Auctions,10230.0,OR+,V,8535
ALFA ROMEO,20171124,ESVRES-SUR-INDRE,Alfasud Sprint Veloce 1.5,Alcopa auction,5320.0,OR,V,8535
ALFA ROMEO,20150227,BERLIN,"Alfasud Sprint Veloce 1.5 Trofeo, 240 km origine",Auctionata,27240.0,OR+/EX,V,8535
ALFA ROMEO,20090719,UZERCHE,Alfasud Sprint Veloce 1.5 coupé,Me Arnaud-Lacroz,30.0,SEP,V,8535
ALFA ROMEO,20170911,LA MÉZIÈRE,Alfasud Sprint 1.3 coupé,Alcopa auction,4180.0,OR,V,8534
