auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
ALFA ROMEO,12/05/2012,Monaco,T 33/2 Daytona gagnante 500 km Imola 1968,RM Auctions,1 008 000 €,EX,V,,,167,
,,,,,,,,,,166,
ALFA ROMEO,17/11/2018,Turin,Montreal,Aste Bolaffi,73 600 €,REST+,V,,,166,
ALFA ROMEO,04/11/2018,Paris,Montreal,Artcurial Motorcars,59 600 €,REST,V,,,166,
ALFA ROMEO,12/05/2018,Monaco,8 C Competizione,RM Sotheby's,218 500 €,OR+,V,,,166,
ALFA ROMEO,25/03/2018,Avignon,Montreal,Leclère,43 200 €,REST,V,,,166,
ALFA ROMEO,18/03/2018,Goodwood,Montreal RHD,Bonhams,30 200 €,REC,V,,,166,
ALFA ROMEO,25/11/2017,Brooklands,Montreal V8 coupé,Historics at Brooklands,64 630 €,REST,V,,,166,
ALFA ROMEO,05/11/2017,Paris,Montreal V8 coupé,Artcurial,54 830 €,OR,V,,,166,
ALFA ROMEO,14/10/2017,Toffen,Montreal V8 coupé,Oldtimer Galerie Toffen,50 510 €,OR+,V,,,166,
ALFA ROMEO,06/10/2017,Knokke-le-Zoute,Montreal V8 coupé,Bonhams,74 750 €,OR,V,,,166,
ALFA ROMEO,02/07/2017,Monaco,Montreal,Artcurial Motorcars,69 550 €,REST,V,,,166,
ALFA ROMEO,04/06/2017,Greenwich,Montreal,Bonhams,62 690 €,OR+,V,,,166,
ALFA ROMEO,26/03/2017,Avignon,"Montreal, mod. carburateurs",Leclère MDV,52 800 €,OR+,V,,,166,
ALFA ROMEO,11/03/2017,Amelia Island,Montreal,RM Sotheby's,68 060 €,OR+,V,,,166,
ALFA ROMEO,25/02/2017,Coventry,Montreal (LHD),Silverstone Auctions,52 700 €,OR+,V,,,166,
ALFA ROMEO,08/02/2017,Paris,Montreal,RM Sotheby's,80 080 €,REST,V,,,166,
ALFA ROMEO,25/11/2016,Milan,Montreal,RM Sotheby's,67 200 €,OR,V,,,166,
,,,,,,,,,,11940,
ALFA ROMEO,12/07/2013,Goodwood,8 C Competizione,Bonhams,103 530 €,OR+,V,,,11940,
,,,,,,,,,,11939,
ALFA ROMEO,15/05/2019,Leominster,Spider (916) 2.0 Twin Spark RHD,Brightwells,4 540 €,OR+,V,,,11939,
ALFA ROMEO,28/11/2018,Buxton,Spider (916) 2.0 Lusso RHD,H and H,3 550 €,OR+,V,,,11939,
ALFA ROMEO,07/07/2018,Brooklands,Spider 2.0 Twin Spark RHD,Historics at Brooklands,6 330 €,OR+,V,,,11939,
ALFA ROMEO,24/11/2017,Esvres-sur-Indre,Spider (916) 2.0 Twin Spark,Alcopa,3 400 €,OR,V,,,11939,
ALFA ROMEO,22/10/2017,Paris,Spider (916) 2.0 Twin Spark,Leclère,8 200 €,OR,V,,,11939,
ALFA ROMEO,28/11/2015,Toffen,Spider 2.0 cabriolet,Oldtimer Galerie Toffen,11 290 €,OR+,V,,,11939,
ALFA ROMEO,06/06/2015,Brooklands,Spider 916 2.0 Twin Spark RHD,Historics at Brooklands,4 003 €,OR+,V,,,11939,
,,,,,,,,,,11937,
ALFA ROMEO,30/09/2018,Linas,GTV Coupé 2.0 JTS,Aguttes,12 000 €,OR+,V,,,11937,
,,,,,,,,,,8499,
ALFA ROMEO,30/10/2016,Montastruc,RZ roadster Zagato,Stanislas Machoïr,42 000 €,OR+,V,,,8499,
ALFA ROMEO,14/05/2016,Monaco,RZ roadster Zagato,RM Sotheby's,53 760 €,OR+,V,,,8499,
ALFA ROMEO,07/09/2015,Londres,RZ roadster Zagato,RM Sotheby's,65 069 €,OR+,V,,,8499,
ALFA ROMEO,12/07/2013,Goodwood,SZ coupé Zagato,Bonhams,44 980 €,OR+,V,,,8499,
ALFA ROMEO,21/05/2007,Monaco (Coys),RZ roadster Zagato,Coys Europe,32 000 €,OR+,V,,,8499,
,,,,,,,,,,8337,
ALFA ROMEO,21/05/2019,Florence,SZ berlinette Zagato (ES 30),Pandolfi Casa d'Aste,69 000 €,OR+,V,,,8337,
ALFA ROMEO,08/02/2019,Paris,SZ berlinette Zagato (ES 30),Artcurial,65 560 €,OR+,V,,,8337,
ALFA ROMEO,05/09/2018,Londres,SZ berlinette Zagato,RM Sotheby's,31 900 €,OR+,V,,,8337,
ALFA ROMEO,24/06/2016,Goodwood,SZ berlinette Zagato,Bonhams,72 280 €,OR+,V,,,8337,
