auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,auction_url,model,quote_id,year
MG,25/04/2006,Sandown Park,"MGC GT coupé RHD autom., roues fil, toit ouvrant",Barons,7 940 €,REST,V,,,4421,
,,,,,,,,,,4420,
MG,13/07/2019,Brooklands,MGC cabriolet 6 cylindres,Historics at Brooklands,25 270 €,REST,V,,,4420,
MG,18/05/2019,Brooklands,MGC cabriolet 6 cylindres RHD,Historics at Brooklands,21 030 €,REST,V,,,4420,
MG,23/02/2019,Birmingham,MGC GT racing RHD,Silverstone Auctions,47 910 €,REST,V,,,4420,
MG,17/01/2019,Scottsdale,MGC cabriolet 6 cylindres,Bonhams,22 100 €,OR+,V,,,4420,
MG,19/05/2018,Brooklands,MGC cabriolet RHD,Historics at Brooklands,20 590 €,OR,V,,,4420,
MG,04/06/2017,Greenwich,"MGC cabriolet USA, jantes alliage",Bonhams,23 020 €,REST,V,,,4420,
MG,23/05/2015,Silverstone,MGC GT coupé préparé 280 ch,Silverstone Auctions,17 934 €,REST/TR,V,,,4420,
MG,01/09/2012,Brooklands,C cabriolet RHD,Historics,19 077 €,REST,V,,,4420,
MG,08/12/2010,Buxton,MGC cabriolet RHD,H & H Classic Auctions,11 380 €,REST,V,,,4420,
MG,15/03/2008,Stoneleigh,MGC cabriolet RHD,Bonhams,4 860 €,OR,V,,,4420,
MG,20/06/2007,Buxton,"MGC cabriolet RHD, roues fil",H & H Classic Auctions,11 250 €,REST,V,,,4420,
MG,12/11/2006,Paris,"MGC cabriolet LHD, roues fil","Artcurial Briest, Le Fur, Poulai",17 000 €,REST,V,,,4420,
MG,11/06/2006,Sandown Park,MGC cabriolet RHD,Barons,11 850 €,REST+,V,,,4420,
,,,,,,,,,,4419,
MG,13/07/2019,Brooklands,MGB GT V8 coupé (pare-chocs chromés) RHD,Historics at Brooklands,19 660 €,REST,V,,,4419,
MG,13/07/2019,Brooklands,MGB GT V8 coupé (pare-chocs chromés) toit souple RHD,Historics at Brooklands,4 290 €,OR,V,,,4419,
MG,18/05/2019,Brooklands,MGB GT V8 coupé (pare-chocs chromés) RHD,Historics at Brooklands,38 240 €,REST,V,,,4419,
MG,21/04/2018,Toffen,MGB GT V8 coupé (pare-chocs chromés),Oldtimer Galerie Toffen,11 530 €,OR+,V,,,4419,
MG,07/09/2013,Beaulieu,MGB GT V8 coupé RHD ,Bonhams,12 300 €,OR+,V,,,4419,
MG,29/04/2013,Londres,MGB GT V8 coupé RHD,Bonhams,5 716 €,RAR,V,,,4419,
MG,22/10/2011,Brooklands,"MGB GT V8 coupé ""chrome""",Historics,7 650 €,REST,V,,,4419,
MG,10/09/2011,Beaulieu,"MGB GT V8 coupé ""chrome""",Bonhams,6 400 €,OR,V,,,4419,
MG,01/10/2010,Buxton,MGB GT V8 coupé RHD,H & H Classic Auctions,8 540 €,REST,V,,,4419,
MG,23/07/2008,Buxton,MGB GT V8 coupé RHD,H & H,4 160 €,OR+,V,,,4419,
MG,23/07/2008,Buxton,MGB GT V8 coupé RHD,H & H,3 900 €,REST-,V,,,4419,
MG,11/07/2008,Goodwood,"MGB GT V8 coupé ""chrome"" RHD",Bonhams,9 100 €,REST,V,,,4419,
MG,23/10/2007,Sandown Park,"MGB GT V8 coupé ""chrome"" RHD",Barons Auctions,3 750 €,OR,V,,,4419,
MG,07/06/2007,Brooklands,"MGB GT V8 coupé RHD ""chrome"", toit Webasto",BCA Classic & Historic,4 200 €,OR+,V,,,4419,
