auction_url,quote_id,quote_max_price,quote_model,quote_year
,,5 000 €,1500 L berline,1963
cote.encheres.php?idCote=2413,2413,4 000 €,1300 berline,1961
,,5 000 €,1300 Familiare break,1961
,,4 500 €,1500 berline,1961
cote.encheres.php?idCote=8607,8607,4 200 €,1500 C berline,1965
,,5 500 €,1500 Familiare break,1961
,,14 000 €,1500 S coupé Vignale,1966
cote.encheres.php?idCote=2416,2416,6 500 €,Nuova 1100 (Tipo 103) berline,1953
,,4 000 €,1100 (103) Familiare break,1954
cote.encheres.php?idCote=2417,2417,8 000 €,1100 TV berline,1954
cote.encheres.php?idCote=9156,9156,3 500 €,1100 (103 E) berline,1956
,,4 000 €,1100 (103 E) Familiare break,1956
cote.encheres.php?idCote=9157,9157,7 500 €,1100 TV (103 E) berline,1956
,,2 800 €,1100 (103 D) berline,1958
,,3 500 €,1100 (103 D) Familiare break,1958
,,3 400 €,1100 Lusso (103 H) berline,1959
,,"(None,)","(None,)","(None,)"
,,3 000 €,1100 Export (103 H) berline,1961
,,2 400 €,1100 Special (103 H) berline,1961
,,2 600 €,1100 (103 H) Familiare break,1961
,,2 200 €,1100 D (103 G) berline,1963
,,2 500 €,1100 D (103 G) Familiare break,1963
,,2 000 €,1100 R (103 P) berline,1966
cote.encheres.php?idCote=9165,9165,2 200 €,1100 R (103 P) Familiare break,1966
,,4 000 €,1200 Granluce berline,1957
,,4 500 €,1200 Granluce berline,1959
cote.encheres.php?idCote=2419,2419,40 000 €,1100 TV Trasformabile cabriolet,1955
cote.encheres.php?idCote=2420,2420,40 000 €,1200 Trasformabile cabriolet,1957
cote.encheres.php?idCote=2421,2421,17 000 €,1200 cabriolet Pininfarina (118 G),1960
cote.encheres.php?idCote=2422,2422,18 500 €,1500 cabriolet Pininfarina (118 H / 118 K),1963
cote.encheres.php?idCote=2423,2423,34 000 €,"1500 / 1500 S cabriolet (118 S, OSCA)",1959
cote.encheres.php?idCote=2424,2424,36 000 €,"1600 S cabriolet (118 SB, OSCA)",1962
,,26 000 €,1500 coupé Pininfarina,1963
,,"(None,)","(None,)","(None,)"
,,34 000 €,1600 S coupé Pininfarina,1963
cote.encheres.php?idCote=7598,7598,3 000 €,850 coach,1964
cote.encheres.php?idCote=9136,9136,3 500 €,850 Special coach,1968
,,8 000 €,850 Berlina 2+2 Vignale,1965
,,9 500 €,850 Spider Vignale,1965
cote.encheres.php?idCote=2425,2425,9 500 €,850 coupé,1965
cote.encheres.php?idCote=2426,2426,8 500 €,850 Sport coupé,1968
cote.encheres.php?idCote=2427,2427,14 000 €,850 spider,1965
cote.encheres.php?idCote=2428,2428,12 500 €,850 Sport spider,1968
,,16 000 €,850 CL spider + hard-top Bertone,1966
cote.encheres.php?idCote=9138,9138,9 500 €,850 Racer Berlinetta Bertone,1969
,,12 000 €,850 Racer Team Bertone,1970
cote.encheres.php?idCote=9137,9137,17 000 €,850 Grand Prix berlinette Lombardi,1968
cote.encheres.php?idCote=11038,11038,45 000 €,850 Shellette / Spiaggetta Michelotti,1968
,,3 000 €,850 Familiare minibus,1965
cote.encheres.php?idCote=11063,11063,3 000 €,900 T Pulmino minibus,1977
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=11064,11064,2 500 €,900 E Panorama minibus,1981
cote.encheres.php?idCote=11801,11801,2 500 €,133 coach 850 (Seat),1974
cote.encheres.php?idCote=9139,9139,4 000 €,124 berline,1966
,,9 000 €,124 Eveline coupé Vignale,1967
,,3 000 €,124 Special berline,1968
,,3 000 €,124 Special 1400 berline,1973
,,3 000 €,124 Special T 1600 berline,1973
,,2 500 €,124 Familiare break,1967
cote.encheres.php?idCote=2429,2429,8 000 €,124 Sport 1400 coupé,1967
cote.encheres.php?idCote=2430,2430,7 500 €,124 Sport 1600 coupé (124 BC),1970
,,7 000 €,124 Sport 1600 coupé (124 CC),1973
cote.encheres.php?idCote=2431,2431,8 500 €,124 Sport 1800 coupé,1973
cote.encheres.php?idCote=2432,2432,17 000 €,124 Sport 1400 Spider,1967
cote.encheres.php?idCote=2433,2433,18 000 €,124 Sport 1600 Spider,1970
cote.encheres.php?idCote=7601,7601,19 500 €,124 Sport 1800 Spider,1973
cote.encheres.php?idCote=7602,7602,13 000 €,124 Spider 2000 (USA),1978
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=7603,7603,16 000 €,Pininfarina Spider Europa,1982
,,20 000 €,Pininfarina Spider Volumex,1983
cote.encheres.php?idCote=8358,8358,4 000 €,125 berline,1967
,,14 000 €,125 / 125 S Samantha coupé Vignale,1968
,,4 500 €,125 Special berline,1969
cote.encheres.php?idCote=11778,11778,3 000 €,128 1100/1300 2 ou 4 portes,1969
cote.encheres.php?idCote=8356,8356,8 500 €,128 Rally 1300 coach,1972
,,2 500 €,128 Familiare 1100/1300,1970
cote.encheres.php?idCote=9566,9566,3 500 €,128 SL 1100 coupé,1972
,,4 000 €,128 SL 1300 coupé,1972
,,3 000 €,128-3 P/Berlinetta 1100,1975
