auction_url,quote_id,quote_max_price,quote_model,quote_year
cote.encheres.php?idCote=4170,4170,125 000 €,280 SE cabriolet (calandre basse),1970
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=4171,4171,240 000 €,280 SE 3.5 cabriolet V8,1970
cote.encheres.php?idCote=4172,4172,120 000 €,300 SE cabriolet,1962
cote.encheres.php?idCote=4173,4173,80 000 €,230 SL cabriolet hard-top,1963
cote.encheres.php?idCote=4174,4174,85 000 €,250 SL cabriolet hard-top,1967
cote.encheres.php?idCote=4175,4175,110 000 €,280 SL cabriolet hard-top,1968
cote.encheres.php?idCote=10891,10891,95 000 €,280 SL roadster hard-top (California),1968
cote.encheres.php?idCote=4176,4176,40 000 €,350 SL (R 107) cabriolet hard-top,1971
cote.encheres.php?idCote=4177,4177,45 000 €,450 SL (R 107) cabriolet hard-top,1973
cote.encheres.php?idCote=7791,7791,48 000 €,500 SL (R 107) cabriolet hard-top,1981
cote.encheres.php?idCote=8615,8615,42 000 €,380 SL (R 107) cabriolet hard-top,1980
cote.encheres.php?idCote=9271,9271,44 000 €,420 SL (R 107) cabriolet hard-top,1985
cote.encheres.php?idCote=4178,4178,38 000 €,280 SL (R 107) cabriolet hard-top,1974
cote.encheres.php?idCote=8616,8616,40 000 €,300 SL (R 107) cabriolet hard-top,1985
cote.encheres.php?idCote=9272,9272,52 000 €,560 SL (R 107) cabriolet hard-top USA,1985
cote.encheres.php?idCote=4179,4179,18 000 €,350 SLC coupé,1972
cote.encheres.php?idCote=4180,4180,22 000 €,450 SLC coupé,1973
,,"(None,)","(None,)","(None,)"
cote.encheres.php?idCote=4181,4181,25 000 €,450 SLC 5.0 coupé,1978
cote.encheres.php?idCote=7792,7792,27 000 €,500 SLC coupé,1980
cote.encheres.php?idCote=8617,8617,23 000 €,380 SLC coupé,1980
cote.encheres.php?idCote=4182,4182,16 000 €,280 SLC coupé,1974
cote.encheres.php?idCote=11919,11919,14 000 €,300 SL (R 129) cabriolet hard-top,1990
cote.encheres.php?idCote=11920,11920,18 000 €,300 SL-24 (R 129) cabriolet hard-top,1990
cote.encheres.php?idCote=12375,12375,13 000 €,SL 280 (R 129) cabriolet hard-top,1994
,,16 000 €,SL 280 V6 (R 129) cabriolet hard-top,1999
cote.encheres.php?idCote=12373,12373,15 000 €,SL 320 (R 129) cabriolet hard-top,1994
cote.encheres.php?idCote=12374,12374,18 000 €,SL 320 V6 (R 129) cabriolet hard-top,1999
cote.encheres.php?idCote=11921,11921,22 000 €,500 SL / SL 500 (R 129) cabriolet hard-top,1990
