auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
TRIUMPH,17/12/2012,Bruxelles,TR 6 (CC) cabriolet LHD,Pierre Bergé & Associés,10 800 €,REST,V,,6748,
TRIUMPH,15/09/2012,Toffen,TR 6 PI cabriolet injection LHD,Oldtimer Galerie Toffen,11 500 €,OR,V,,6748,
TRIUMPH,30/04/2012,Londres,TR 6 injection RHD overdrive,Bonhams,9 871 €,OR,V,,6748,
TRIUMPH,30/04/2010,Monaco,TR 6 Pi (CR) cabriolet injection 124 ch,Bonhams,6 500 €,OR+,V,,6748,
TRIUMPH,24/03/2010,Leominster,TR 6 Pi (CR) cabriolet RHD,Brightwells,6 820 €,REST,V,,6748,
TRIUMPH,18/09/2009,Goodwood,TR 6 Pi (CR) cabriolet RHD,Bonhams,8 800 €,REST,V,,6748,
TRIUMPH,16/04/2008,Harrogate,"TR 6 Pi (CR) cabriolet RHD, roues fil",H & H Classic Auctions,10 800 €,REST,V,,6748,
TRIUMPH,21/11/2007,Buxton,TR 6 Pi (CR) cabriolet RHD,H & H Classic Auctions,21 000 €,REST+,V,,6748,
TRIUMPH,31/07/2007,Bridgwater,TR 6 Pi (CR) cabriolet RHD,BCA Classic & Historic,6 600 €,OR+,V,,6748,
TRIUMPH,11/07/2007,Leominster,TR 6 Pi (CR) cabriolet RHD préparé,Brightwells,12 450 €,REST/TR,V,,6748,
TRIUMPH,11/07/2007,Leominster,TR 6 Pi (CR) cabriolet RHD,Brightwells,5 250 €,OR,V,,6748,
TRIUMPH,20/06/2007,Buxton,TR 6 Pi (CR) cabriolet RHD,H & H Classic Auctions,7 500 €,OR,V,,6748,
,,,,,,,,,6747,
TRIUMPH,15/06/2019,Fontainebleau,"TR 6 Pi (CP) cabriolet, 2 carbus Zenith",Jean-Pierre Osenat,24 000 €,REST,V,,6747,
TRIUMPH,03/12/2018,Londres,"TR 6 Pi (CP) cabriolet hard-top RHD, 3 carbus",Bonhams,10 840 €,OR/TR,V,,6747,
TRIUMPH,17/11/2018,Turin,TR 6 Pi (CP) cabriolet,Aste Bolaffi,24 730 €,REST,V,,6747,
TRIUMPH,13/07/2018,Goodwood,"TR 6 Pi (CP) cabriolet RHD, roues fil",Bonhams,12 990 €,REST,V,,6747,
