auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
VOLKSWAGEN,30/06/2019,Chantilly,Typ 24 Bus de Luxe (21 fenêtres),Bonhams,103 500 €,REST,V,,8569,
VOLKSWAGEN,07/02/2019,Paris,Typ 24 Bus de Luxe 21 fenêtres,Bonhams,50 600 €,REST+,V,,8569,
VOLKSWAGEN,08/02/2019,Paris,Typ 24 Bus de Luxe (21 fenêtres),Artcurial,143 040 €,OR+,V,,8569,
VOLKSWAGEN,24/08/2018,Monterey,Typ 24 Bus de Luxe,RM Sotheby's,154 060 €,REST,V,,8569,
VOLKSWAGEN,24/08/2018,Quail Lodge,Typ 24 Bus de Luxe,Bonhams,86 660 €,REST,V,,8569,
VOLKSWAGEN,10/03/2018,Amelia Island,Typ 24 Bus de Luxe,RM Sotheby,102 530 €,REST,V,,8569,
VOLKSWAGEN,13/05/2017,Silverstone,Typ 24 Bus de Luxe (21 fenêtres),Silverstone Auctions,72 260 €,REST,V,,8569,
VOLKSWAGEN,14/01/2017,Scottsdale,Typ 24 Bus de Luxe,Barrett-Jackson,134 460 €,REST,V,,8569,
VOLKSWAGEN,10/02/2017,Paris,"Typ 24 Bus de Luxe 21 fenêtres, toit souple",Artcurial Motorcars,97 740 €,REST+,V,,8569,
VOLKSWAGEN,10/09/2016,Goodwood,"Type 24 Bus de Luxe LHD ex-USA, toit souple",Bonhams,95 100 €,REST+,V,,8569,
VOLKSWAGEN,26/04/2008,Toffen,"Type 24 Bus de Luxe ""21 fenêtres"" toit ouvrant",Oldtimer Galerie Toffen,29 900 €,OR+,V,,8569,
,,,,,,,,,8568,
VOLKSWAGEN,02/06/2019,Greenwich,Typ 24 Bus De Luxe (23 fenêtres),Bonhams,47 130 €,REST,V,,8568,
VOLKSWAGEN,17/01/2019,Scottsdale,Typ 24 Bus De Luxe (23 fenêtres),Bonhams,166 980 €,REST+,V,,8568,
