auction_brand,auction_date,auction_location,auction_model,auction_organizor,auction_price,auction_restauration_code,auction_sales_code,model,quote_id,year
PORSCHE,17/01/2019,Phoenix,356 A-1600 S Speedster,RM Sotheby's,274 500 €,REST,V,,5685,
PORSCHE,17/01/2019,Phoenix,356 A-1600 S Speedster,RM Sotheby's,214 870 €,REST,V,,5685,
PORSCHE,17/01/2019,Scottsdale,356 A-1600 S Speedster,Bonhams,195 470 €,REST,V,,5685,
PORSCHE,17/01/2019,Scottsdale,356 A-1600 S Speedster,Bonhams,317 910 €,REST,V,,5685,
PORSCHE,08/12/2018,Los Angeles,356 A-1600 S Speedster,RM Sotheby's,303 200 €,REST,V,,5685,
PORSCHE,27/10/2018,Atlanta,356 A-1600 Speedster Reutter,RM Sotheby's,241 220 €,REST,V,,5685,
PORSCHE,27/10/2018,Atlanta,356 A-1600 S Speedster,RM Sotheby's,426 010 €,OR+,V,,5685,
PORSCHE,27/10/2018,Atlanta,356 A-1600 S Speedster,RM Sotheby's,264 910 €,OR-,V,,5685,
PORSCHE,05/09/2018,Londres,356 A-1600 S Speedster Reutter,RM Sotheby's,355 070 €,REST,V,,5685,
PORSCHE,24/08/2018,Monterey,356 A-1600 S Speedster Reutter,RM Sotheby's,316 370 €,REST,V,,5685,
PORSCHE,24/08/2018,Monterey,356 A-1600 S Speedster Reutter,RM Sotheby's,373 110 €,REST,V,,5685,
PORSCHE,24/08/2018,Quail Lodge,356 A-1600 S Speedster,Bonhams,496 050 €,REST,V,,5685,
,,,,,,,,,5692,
PORSCHE,02/07/2017,Monaco,356 B S 75 Roadster T 5 D'Ieteren,Artcurial Motorcars,143 900 €,REST,V,,5692,
PORSCHE,29/01/2016,Scottsdale,356 B S 75 Roadster T 5,Gooding & Co.,147 300 €,REST,V,,5692,
PORSCHE,15/01/2015,Phoenix,356 B T5 1600 Super roadster,RM Auctions,211 610 €,REST+,V,,5692,
PORSCHE,07/07/2012,Le Mans,"356 B Roadster T 5, moteur 912",Artcurial,107 222 €,REST/TR,V,,5692,
PORSCHE,02/02/2012,Paris,356 B Roadster T 5,Bonhams,97 750 €,REST,V,,5692,
PORSCHE,18/05/2009,Monaco,356 B S 75 Roadster T 5,Bonhams,85 000 €,REST,V,,5692,
PORSCHE,28/06/2008,Saint Cloud,356 B “60” Roadster T 5 (88023),"Artcurial Briest, Poulain, F. Ta",80 000 €,REST,V,,5692,
PORSCHE,22/07/2006,Nuremberg,356 B S 75 Roadster T 5 ex-USA (88136),Coys Europe,54 000 €,REST,V,,5692,
PORSCHE,20/05/2006,Monaco (Coys),"356 B Roadster T 5 LHD, moteur 912",Coys,54 000 €,REST/TR,V,,5692,
PORSCHE,20/05/2006,Monaco (Coys),356 B S 75 Roadster T 5 Drauz LHD (88580),Coys,53 000 €,REST,V,,5692,
,,,,,,,,,8019,
PORSCHE,17/03/2013,Fontainebleau,"356 B ""60"" cabriolet T 6",Jean-Pierre Osenat,90 543 €,REST,V,,8019,
